key;en-GROUP;cs-CZ-x-CZ text
settings.recordings.reformatDisk;;Zformátovat disk
settings.recordings.remoteBooking;;Rezervace na dálku
settings.recordings.setPadding;;Nastavte časový přesah
settings.recordings.setPadding.description;;Nastavte si časový přesah u nahrávek, abyste nepřišli o začátek ani konec své nahrávky.
settings.recordings.setPadding.title;;Nastavte časový přesah
settings.recordings.subscribedChannels;;Zobrazení kanálů
settings.remote.buttons.back;;Zpět
settings.remote.buttons.green;;Zelené
settings.remote.buttons.info;;Informace o dálkovém ovladači
settings.remote.buttons.paired;;Spárováno
settings.remote.buttons.tv;;TV ovladače
settings.remote.buttons.unpaired;;Nespárováno
settings.remote.buttons.voice;;Informace o hlasovém ovládání
settings.remote.connectionType.BLE;;Bluetooth low energy
settings.remote.info.IRCodesTableDBVersion;;?
settings.remote.info.batteryLevelGood;;Dobrý
settings.remote.info.batteryLevelLow;;Nízké
settings.remote.info.batteryStatus.button;;Stav baterie
settings.remote.info.batteryStatus.subtitle;;Stav baterie
settings.remote.info.bleConnection.button;;Spojení bluetooth
settings.remote.info.bluetooth;;Dálkové ovládání používá od %1 pro ovládání set-top boxu Bluetooth, a umožňuje hlasové ovládání.<br><br>Chcete-li párování zrušit, podržte současně žluté tlačítko a tlačítko 3.
settings.remote.info.buttons.firmware.button;;Firmware
settings.remote.info.connectivityStatus.button;;Stav konektivity
settings.remote.info.connectivityStatus.subtitle;;Stav konektivity
settings.remote.info.done.button;;Hotovo
settings.remote.info.firmware.button;;Firmware
settings.remote.info.firmware.subtitle;;Firmware
settings.remote.info.hardwareVersion;;Verze hardwaru
settings.remote.info.infrared;;Dálkové ovládání používá k ovládání set-top boxu infračervené záření. 
settings.remote.info.lastDownloadDateFirmware;;Poslední datum stažení firmwaru
settings.remote.info.macAddress;;MAC adresa ovladače:
settings.remote.info.manufacturingDate;;Datum výroby
settings.remote.info.productNumber;;Číslo produktu
settings.remote.info.radioFrequency;;Dálkové ovládání používá od %1 pro ovládání set-top boxu rádiovou frekvenci. Chcete-li párování zrušit, podržte současně žluté tlačítko a tlačítko 3.
settings.remote.info.remoteSerialNumber;;Sériové číslo ovladače
settings.remote.info.remoteVersion.button;;Verze dálkového ovladače
settings.remote.info.remoteVersion.subtitle;;Verze dálkového ovladače
settings.remote.info.serialNumber.button;;Sériové číslo ovladače
settings.remote.info.serialNumber.subtitle;;Sériové číslo
settings.remote.info.softwareVersion;;Verze softwaru
settings.remote.info.title;;Informace o dálkovém ovladači
settings.remote.info.version;;Verze
settings.remote.paired.descriptionBle;;Hlasové ovládání lze použít při stisknutí hlasového tlačítka na dálkovém ovladači. Stejně tak nemusíte směrovat dálkový ovladač na set-top box a můžete ovládat i televizi (vyberte položku TV ovladač).
settings.remote.paired.descriptionIrRf;;Dálkové ovládání je nyní pro lepší výkon spárováno pomocí rádiové frekvence. Není třeba dálkovým ovladačem mířit na set-top box.
settings.remote.paired.subtitle;;Spárovaný dálkový ovládač
settings.remote.remoteStatus;;Stav dálkového ovladače
settings.remote.retry.descriptionBle;;Párování se bohužel nezdařilo. Stiskněte ještě jednou současně žluté tlačítko a tlačítko 3 na dálkovém ovladači po dobu 5 sekund.
settings.remote.retry.descriptionIrRf;;Párování se bohužel nezdařilo. Stiskněte ještě jednou současně žluté tlačítko a tlačítko 3 na dálkovém ovladači po dobu 5 sekund.
settings.remote.retry.subtitle;;Párování dálkového ovladače
settings.remote.title;;Stav dálkového ovladače
settings.remote.tvControls;;TV ovladače
settings.remote.unpaired.descriptionBle;;Chcete-li využívat hlasové ovládání, spárujte dálkový ovladač pomocí technologie Bluetooth. Ovladač nemusí být nasměrován směrem k vašemu set-top boxu a můžete s ním ovládat i televizi. <br> <br>Pro párování stiskněte současně žluté tlačítko a tlačítko 3 a podržte je po dobu 5 sekund.
settings.remote.unpaired.descriptionIrRf;;Pro lepší výkon spárujte dálkový ovladač pomocí radiové frekvence. Navíc nebudete muset mířit na set-top box.<br><br>Pro párování stiskněte současně žluté tlačítko a tlačítko 3 a podržte je po dobu 5 sekund.
settings.remote.unpaired.subtitle;;Párování dálkového ovladače
settings.remoteBooking.button.standbyOptions;;Možnosti pohotovostního režimu
settings.remoteBooking.screen.text;;"Chcete-li rezervovat nahrávky na dálku (např. z mobilního zařízení), musí být pohotovostní režim vašeho boxu nastaven na ""Aktivní"".<br><br>Pohotovostní režim můžete nastavit v Nastavení TV boxu - Pohotovostní režim - Možnosti pohotovostního režimu."
settings.remoteBooking.screen.title;;Rezervace na dálku
settings.remoteControl;;Nastavení dálkového ovládání
settings.selfDiagnostics.button.internetConnection;;Připojení k internetu
settings.selfDiagnostics.button.localStorage;;Lokální úložiště
settings.selfDiagnostics.button.networkConnection;;Kanály nenalezeny
settings.selfDiagnostics.button.remote;;Dálkový ovladač
settings.selfDiagnostics.button.softwareUpdates;;Aktualizace softwaru
settings.selfDiagnostics.button.tvChannels;;TV kanály
settings.selfDiagnostics.issuesTable.message.sdi01.01;;Vaše zařízení není připojeno přes ethernetový kabel. Zkontrolujte prosím kabelové připojení a ověřte nastavení připojení k síti. 
settings.selfDiagnostics.issuesTable.message.sdi01.02;;Vodafone TV nemůže získat platnou adresu IP. Zvažte kontrolu nastavení IP a resetování routeru a set-top boxu. 
settings.selfDiagnostics.issuesTable.message.sdi01.03;;Signál WiFi je slabý. Zvažte možnost připojení pomocí kabelu LAN nebo přemístění bezdrátového routeru blíže k Vodafone TV Boxu. 
settings.selfDiagnostics.issuesTable.message.sdi02.01;;Vodafone TV se momentálně nemůže připojit k internetu. Jestliže se setkáte s podobnými problémy na jiných zařízeních připojených k vaší domácí síti, obraťte se na svého poskytovatele internetu, může se jednat o všeobecný výpadek internetu. <br />Pokud se setkáte pouze s problémy s produktem Vodafone TV, zkuste Vodafone TV odpojit a znovu zapojit do elektřiny, aby se znovu připojil na internet. Pokud problémy přetrvávají, navštivte www.vodafone.cz/vypadky.
settings.selfDiagnostics.issuesTable.message.sdi02.02;;V současné době se Vodafone TV nemůže připojit ke službě Vodafone kvůli možnému přerušení služby. Zkontrolujte prosím naši webovou stránku, abyste zjistili stav případného přerušení služby. 
settings.selfDiagnostics.issuesTable.message.sdi03.01;;Aktuálně není k set-top boxu připojen žádný koaxiální kabel. Zkontrolujte, zda je připojen koaxiální kabel. 
settings.selfDiagnostics.issuesTable.message.sdi03.02;;Služba Vodafone TV zjistila, že máte špatnou kvalitu videa kvůli nízké kvalitě signálu. Zkontrolujte koaxiální připojení a upravte nastavení antény. 
settings.selfDiagnostics.issuesTable.message.sdi03.03;;Služba Vodafone TV zjistila, že máte špatnou kvalitu videa kvůli problémům s šířkou pásma internetu nebo s připojením. Pokud si všimnete problémů s kvalitou videa, mohlo by to být způsobeno tím, že v současné době máte vysokou zátěž na internetové připojení (sledování více než jednoho video streamu nebo stahování velkých souborů), což může kazit váš zážitek ze sledování televize a celkovou šířku internetového připojení. <br/>Pokud tomu tak je, zkuste při sledování Vodafone TV snížit zátěž nebo zvážit zakoupení vyššího internetového balíčku. 
settings.selfDiagnostics.issuesTable.message.sdi04.01;;Baterie na dálkovém ovladači Vodafone TV jsou téměř vybité. Vyměňte je prosím brzy. 
settings.selfDiagnostics.issuesTable.message.sdi04.02;;"Když spárujete vaše dálkové ovládání Vodafone TV a televizní přijímač Vodafone TV Box"" nebudete už muset mířit dálkovým ovladačem přímo na Vodafone TV Box. Budete také moci schovat set-top box do skříně. <br />Chcete-li této možnosti využít"", spárujte dálkový ovladač Vodafone TV pomocí možnosti Nastavení> Další nastavení> Dálkové ovládání> Spárovat dálkový ovladač."
settings.selfDiagnostics.issuesTable.message.sdi05.01;;K vašemu zařízení jsou k dispozici aktualizace softwaru. Aktualizací získáte přístup k nejnovějším funkcím. 
settings.selfDiagnostics.issuesTable.message.sdi06.01;;V lokálním úložišti je problém, který vypíná funkci Pauza. <br/>Restartujte set-top box nebo navštivte www.vodafone.cz/vypadky.
settings.selfDiagnostics.issuesTable.title.sdi01.01;;Žádné síťové připojení
settings.selfDiagnostics.issuesTable.title.sdi01.02;;Žádná IP adresa
settings.selfDiagnostics.issuesTable.title.sdi01.03;;Špatná síla Wifi signálu
settings.selfDiagnostics.issuesTable.title.sdi02.01;;Nelze se připojit k Internetu
settings.selfDiagnostics.issuesTable.title.sdi02.02;;Nelze se připojit ke službě Vodafone
settings.selfDiagnostics.issuesTable.title.sdi03.01;;Není připojen žádný koaxiální kabel
settings.selfDiagnostics.issuesTable.title.sdi03.02;;Špatná kvalita TV signálu
settings.selfDiagnostics.issuesTable.title.sdi03.03;;Špatná kvalita streamingu přes internet
settings.selfDiagnostics.issuesTable.title.sdi04.01;;Dálkovému ovladači dochází baterie
settings.selfDiagnostics.issuesTable.title.sdi04.02;;Párování dálkového ovladače s Vodafone TV
settings.selfDiagnostics.issuesTable.title.sdi05.01;;Aktualizace jsou k dispozici
settings.selfDiagnostics.issuesTable.title.sdi06.01;;Nelze získat přístup k lokálnímu úložišti
settings.selfDiagnostics.noErrors;;Ve Vodafone TV nebyly zjištěny žádné problémy
settings.serviceSettings;;Nastavení služby
settings.showBackgroundProcess.hide;;Skrýt
settings.showBackgroundProcess.show;;Ukázat
settings.soundAndVideo;;Zvuk & Video
settings.subscriptionFiltering.allAppsHidden;;Všechny aplikace jsou skryté
settings.subscriptionFiltering.appsHidden;;%1 skrytých aplikací
settings.subscriptionFiltering.description;;Můžete vybrat, které aplikace chcete skrýt nebo vidět tak, že je vyberete z listu poskytovatelů aplikací.
settings.subscriptionFiltering.title;;Flitrovat aplikace
settings.systemConfigurations.bluetooth.deviceList.title;;Dostupná zařízení
settings.systemConfigurations.bluetooth.devicePairedList.title;;Spárovaná zařízení
settings.systemConfigurations.developerMode;;Vývojářský mód
settings.systemConfigurations.epgStbCacheStatus;;Stav EPG STB mezipaměti
settings.systemConfigurations.epgUiCacheStatus;;Stav EPG UI mezipaměti
settings.systemConfigurations.lastActiveStandby;;Poslední aktivní pohotovostní režim
settings.systemConfigurations.lastBoots;;Poslední restart
settings.systemConfigurations.lastFullMaintenance;;Poslední celková údržba
settings.systemConfigurations.lastLoginDate;;Datum posledního přihlášení
settings.systemConfigurations.lastMaintenance;;Poslední údržba
settings.systemConfigurations.lastMaintenanceReboot;;Poslední restartování za účelem údržby
settings.systemConfigurations.lastTechnicalDiagUpdate;;Poslední aktualizace technické diagnostiky
settings.systemConfigurations.maintenanceTimeoutEvents;;Maintenance timeout MW events
settings.systemConfigurations.mobilePairing;;Párování s mobilním zařízení
settings.systemConfigurations.mobilePairing.concurrentPairingDenied;;Nelze spárovat více než jedno zařízení současně.
settings.systemConfigurations.mobilePairing.description;;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
settings.systemConfigurations.mobilePairing.deviceList.title;;Dostupná zařízení
settings.systemConfigurations.mobilePairing.failed;;Selhalo
settings.systemConfigurations.mobilePairing.failure;;Během automatického párování s vaším mobilním telefonem došlo k chybě.
settings.systemConfigurations.mobilePairing.paired;;Spárováno
settings.systemConfigurations.mobilePairing.pairingError;;Chyba párování
settings.systemConfigurations.mobilePairing.pairingFailed;;Nepodařilo se spárovat zařízení
settings.systemConfigurations.mobilePairing.pairingInProgress;;Párování probíhá
settings.systemConfigurations.mobilePairing.pairingSuccessful;;Úspěšně jste se přihlásili v zařízení
settings.systemConfigurations.mobilePairing.pinEntryHelpMessage;;Zadejte svůj hlavní kód PIN a ověřte jej
settings.systemConfigurations.mobilePairing.qrCodeMode.description;;Naskenujte tento QR kód prostřednictvím mobilního zařízení, abyste jej spárovali.
settings.systemConfigurations.mobilePairing.qrCodeMode.subtitle;;Naskenovat QR kód
settings.systemConfigurations.mobilePairing.readyToPair;;Lze spárovat
settings.systemConfigurations.mobilePairing.showQrCode;;Zobrazit QR kód
settings.systemConfigurations.mobilePairing.subtitle;;Síťová zařízení
settings.systemConfigurations.mobilePairing.title;;Párování s mobilním zařízení
settings.systemConfigurations.networkAndPlayerLogs;;Protokoly sítě a přehrávače
settings.systemConfigurations.networkLogsTitle;;Záznamy sítě
settings.systemConfigurations.noMaintenanceDone;;Nebyla provedena žádná údržba
settings.systemConfigurations.noMaintenanceTimeout;;No maintenance timeout
settings.systemConfigurations.playerLogsTitle;;Protokoly přehrávače
settings.systemConfigurations.refreshCacheStatus;;Aktualizovat stav mezipaměti
settings.systemConfigurations.selfDiagnostics;;Vlastní diagnostika
settings.systemConfigurations.soundBox;;Hlasoví asistenti
settings.systemConfigurations.soundBox.description;;Toto zařízení můžete odpojit od televizoru, pokud již nechcete používat extra hlasové ovládání.
settings.systemConfigurations.soundBox.deviceList.title;;Dostupná zařízení
settings.systemConfigurations.soundBox.disconnectDevice;;Odpojit
settings.systemConfigurations.soundBox.hideAlexaCards;;Skrýt ovládací prvky Alexa
settings.systemConfigurations.soundBox.showAlexaCards;;Zobrazit ovládací prvky Alexa
settings.systemConfigurations.soundBox.title;;Hlasoví asistenti
settings.systemConfigurations.soundbox.audioOutput;;Audio výstup
settings.systemConfigurations.soundbox.audioOutput.checkOptical;;Zkontrolujte, zda je v mobilní aplikaci vybrán optický zdroj.
settings.systemConfigurations.soundbox.audioOutput.off;;VYP.
settings.systemConfigurations.soundbox.audioOutput.off.selected;;Zmáčkněte OK pro vypnutí
settings.systemConfigurations.soundbox.audioOutput.spdifstb;;Set Top Box
settings.systemConfigurations.soundbox.audioOutput.spdifstb.selected;;Stisknutím tlačítka OK připojte své zvukové zařízení jako externí výstup pro váš Set Top Box.
settings.systemConfigurations.soundbox.audioOutput.spdiftv;;TV
settings.systemConfigurations.soundbox.audioOutput.spdiftv.selected;;Stisknutím tlačítka OK připojte svůj Soundbox jako externí výstup pro váš TV přijímač.
settings.systemConfigurations.soundbox.audioOutput.turnedOff;;VYPNUTO
settings.systemConfigurations.soundbox.audioOutput.turnedOn;;ZAPNUTO
settings.systemConfigurations.status.downloading;;Stahování ...
settings.systemConfigurations.status.failed;;Failed
settings.systemConfigurations.status.finished;;Dokončeno
settings.systemConfigurations.status.ok;;OK
settings.systemConfigurations.status.ongoing;;Probíhá ...
settings.systemConfigurations.subscriptionFiltering;;Filtrování předplatného
settings.systemConfigurations.technicalDiagnostics;;Technická diagnostika
settings.systemConfigurations.technicalDiagnostics.auth;;Ověřování
settings.systemConfigurations.technicalDiagnostics.authNrefresh;;Obnovení tokenu AuthN
settings.systemConfigurations.technicalDiagnostics.checkUpdate;;Zkontrolovat aktualizace
settings.systemConfigurations.technicalDiagnostics.epg;;Aktualizovat EPG
settings.systemConfigurations.technicalDiagnostics.licencesRefresh;;Obnovení licence
settings.systemConfigurations.technicalDiagnostics.localMaintenance;;Lokální údržba
settings.systemConfigurations.technicalDiagnostics.nagraCheckMaintenance;;Kontrola údržby Nagra
settings.systemConfigurations.technicalDiagnostics.nagraSSPCheckMaintenance;;Kontrolní údržba Nagra SSP
settings.systemConfigurations.technicalDiagnostics.newMaintenance;;Nový režim údržby
settings.systemConfigurations.technicalDiagnostics.no_save_home_mcast_stats;;Neukládat domácí statistiky MCast
settings.systemConfigurations.technicalDiagnostics.noscan;;Není potřeba vyhledávat
settings.systemConfigurations.technicalDiagnostics.noupdate;;Není potřeba aktualizovat
settings.systemConfigurations.technicalDiagnostics.oldMaintenance;;Starý režim údržby
settings.systemConfigurations.technicalDiagnostics.restart;;Restart set-top boxu
settings.systemConfigurations.technicalDiagnostics.save_home_mcast_stats;;Uložit domácí statistiky MCast
settings.systemConfigurations.technicalDiagnostics.scan;;Vyhledávat
settings.systemConfigurations.technicalDiagnostics.scanStart;;Scan start
settings.systemConfigurations.technicalDiagnostics.sendTechnical;;Odeslat technické údaje
settings.systemConfigurations.technicalDiagnostics.subtitle;;Poslední flow údržby
settings.systemConfigurations.technicalDiagnostics.update;;Aktualizovat set-top box
settings.systemConfigurations.technicalOverlay;;Technický překryv
settings.technicalOverlay;;Technický překryv
settings.technicalOverlay.disable;;Zakázat
settings.technicalOverlay.enable;;Zapnout
settings.tvBoxSettings;;Nastavení zařízení
settings.tvChannels.currentlyFound.cable;;Nalezené kanály:<div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound.ftth;;Nalezené kanály:<div class='halfSummary'>IP<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyHave.cable;;Aktuální kanály:<div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyHave.ftth;;Aktuální kanály:<div class='halfSummary'>IP<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.showDttChannels;;Zobrazit kanály pozemního vysílání
settings.tvChannels.weFound.cable;;Nalezené kanály:<div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.weFound.ftth;;Nalezené kanály:<div class='halfSummary'>Volně dostupné<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvInput.auto;;Automaticky
settings.tvInput.auto.description;;Zvolte tuto možnost, chcete-li automaticky nastavit dálkové ovládání televizoru Vodafone tak, aby ovládalo hlasitost vašeho televizoru, a umožňilo vám zapínat a vypínat televizor a Vodafone TV společně pomocí tlačítka napájení.
settings.tvInput.config.power;;Napájení
settings.tvInput.config.power.description;;Výběr funkce
settings.tvInput.config.volume;;Hlasitost
settings.tvInput.config.volume.description;;Zvolte tuto možnost, abyste mohli ovládat hlasitost vašeho televizoru pomocí dálkového ovladače Vodafone TV Boxu.
settings.tvInput.deviceList;;Seznam zařízení
settings.tvInput.deviceList.availableDeviceList.description;;Budete moci ovládat všechna zařízení svým Vodafone TV ovladačem, která podporují a jsou připojená přes HDMI
settings.tvInput.deviceList.availableDeviceList.title;;Seznam zařízení CEC
settings.tvInput.deviceList.description;;Abyste se mohli podívat na zařízení připojená přes HDMI a přepínat mezi nimi použitím ovladače Vodafone TV, musíte mít zapnuté nastavení HDMI CEC
settings.tvInput.deviceList.unavailableDeviceList.description;;Abyste se mohli podívat na zařízení připojená přes HDMI a přepínat mezi nimi použitím ovladače Vodafone TV, musíte mít zapnuté nastavení HDMI CEC
settings.tvInput.deviceList.vodafoneDevice;;Vodafone TV
settings.tvInput.manual;;Ručně
settings.tvInput.manual.cecSettings;;Nastavení CEC
settings.tvInput.manual.description;;Zvolte tuto možnost, abyste mohli pomocí dálkového ovladače Vodafone TV, ovládat hlasitost nebo zapínání jak pro televizor tak i pro Vodafone TV. Některé televizory neumožnují ovládat některé funkce.
settings.tvInput.off;;Vypnuto
settings.tvInput.off.description;;Tuto možnost vyberte, chcete-li vypnout funkce televizoru připojeného přes HDMI a funkce Vodafone TV Boxu.
settings.tvInput.userOff;;Vypnout
settings.uiVersionOverlay;;Překrytí verze uživatelského rozhraní
settings.uiVersionOverlay.hide;;Skrýt
settings.uiVersionOverlay.show;;Ukázat
settings.visualScrubberStatus;;Visual Scrubber
settings.visualScrubberStatus.disable;;Disable
settings.visualScrubberStatus.enable;;Enable
settings.voice.channel_change.default.answer;;Odpověď změny programu
settings.voice.channel_change.default.question;;Změna kanálu
settings.voice.navigate.default.answer;;Výsledek hledání
settings.voice.navigate.default.question;;Navigovat
settings.voice.search.default.answer;;Svou televizi můžete ovládat hlasem. Aktivujte ovládání hlasem stisknutím tlačítka Hlas na svém ovladači.
settings.voice.search.default.question;;Hledat
settings.voice.title;;Hlas
settings.voice.voiceTopics;;Ovládání hlasem
settings.voiceAssistants;;Hlasoví asistenti
settings.warning.popup.recommendationsOptOut;;Nebudete-li s předchozími nastaveními obsahu souhlasit, přijdete bohužel o některé ze speciálních funkcí vaší služby a nemůžeme vám zaručit nejlepší možný zážitek z Vodafone TV. Opravdu chcete pokračovat v nastavení, nebo chcete jít zpět a svou volbu změnit?
shopInShop.disclaimer.title;;Prohlášení
smartTV.firstInstall.buttons.clear;;Vymazat
smartTV.firstInstall.buttons.signin;;Přihlásit se
smartTV.firstInstall.buttons.whatsnew;;Co je Vodafone TV
smartTV.firstInstall.incompatibleDeviceErrorScreen.title;;Tento typ zařízení není podporován
smartTV.firstInstall.login.error.description;;Zkuste to prosím znovu <br/> nebo navštivte www.vodafone.cz/vypadky
smartTV.firstInstall.login.error.title;;Problém s vaším účtem
smartTV.firstInstall.login.error.tooManyDevices.description;;SmartTV chyba, příliš mnoho zařízení.
smartTV.firstInstall.login.error.tvAlreadyPaired.description;;Chyba prvotní instalace smartTV, TV již připojeno.
smartTV.firstInstall.login.fail.description;;Nemůžeme najít váš účet
smartTV.firstInstall.login.fail.title;;Jejda
smartTV.firstInstall.login.nativeInput.placeholder;;Stiskněte OK pro zadání
smartTV.firstInstall.login.nativePassword.title;;Zadejte své heslo
smartTV.firstInstall.login.nativeUsername.title;;Zadejte své uživatelské jméno
smartTV.firstInstall.login.password.description;;Pokud již máte účet, přihlaste se. Pokud se chcete dozvědět více o naší službě, vyberte Co je Vodafone TV.
smartTV.firstInstall.login.password.title;;Heslo
smartTV.firstInstall.login.success.description;;Už to skoro máte...
smartTV.firstInstall.login.success.title;;Jupí, úspěch!
smartTV.firstInstall.login.udid;;UDID: %1
smartTV.firstInstall.login.username.description;;Pokud již máte účet, přihlaste se.
smartTV.firstInstall.login.username.placeholder;;Vložte své uživatelské jméno
smartTV.firstInstall.login.username.title;;Uživatelské jméno
smartTV.firstInstall.login.welcome.description;;Přihlaste se, prosím, svým uživatelským jménem a heslem.
smartTV.firstInstall.login.welcome.title;;Vítejte ve Vodafone TV
smartTV.mainMenu.watchTV;;Sledovat televizi
smartTV.popups.exit.message;;Opravdu chcete odejít?
smartTV.popups.exit.title;;Chystáte se ukončit službu Vodafone TV
smartTV.settings.account.logout;;Odhlásit se
smartTV.settings.account.logout.popup;;Opravdu se chcete odhlásit?
smarttv.offlineMode.buttonText;;Znovu načíst
smarttv.offlineMode.descriptionText;;Zkontrolujte nastavení sítě v nastavení televizoru Smart TV a obnovte připojení.
smarttv.offlineMode.loadingText;;Načítání...
smarttv.offlineMode.title;;Ztráta spojení
somethingDifferent;;Něco jiného
somethingSimilar;;Něco podobného
sr.notification.error.authenticationError;;%1: Omlouváme se, nemohli jsme vás přihlásit. Zkuste to prosím znovu později.
sr.notification.error.device.existsInOther.households;;%1: Litujeme, toto zařízení se nepodařilo zaregistrovat. Zařízení je přidruženo k jinému účtu.
sr.notification.error.exceeded.limit;;%1: Je nám líto, ale dosáhli jste maximálního počtu zařízení, která mohou být zaregistrována k vašemu účtu. Odeberte zařízení ze svého účtu.
sr.notification.error.kaltura.service.expired;;%1 KS Module returned error KS expired
sr.notification.error.kaltura.service.invalid;;%1 KS Module returned error invalid KS
sr.notification.error.kaltura.service.revocation;;%1 KS is invalid (Kaltura returned error when calling the backend API, possibly due to KS revocation)
sr.notification.error.notAllowed.type.device;;%1: Je nám líto, toto zařízení není kompatibilní s naší službou. Zkuste to prosím znovu s jiným zařízením.
sr.notification.error.secretCode.problem;;%1: Omlouváme se, nemohli jsme vás přihlásit. Zkuste to prosím znovu později. To má v dokumentu vtip dva klíče.
technicalOverlay.widget.label.audioBuffer;;Audio buffer
technicalOverlay.widget.label.audioPid;;Audio PID
technicalOverlay.widget.label.bandwidthManagement;;Řízení šířky pásma
technicalOverlay.widget.label.ber;;BER
technicalOverlay.widget.label.blackout;;Výpadek
technicalOverlay.widget.label.bufferingTime;;Buffering time
technicalOverlay.widget.label.currentTime;;Current time
technicalOverlay.widget.label.droppedFrames;;Dropped frames
technicalOverlay.widget.label.errorManagement;;Řešení chyb
technicalOverlay.widget.label.estimatedBandwidth;;Estimate bandwidth
technicalOverlay.widget.label.frequency;;Frekvence
technicalOverlay.widget.label.licenseTime;;License time
technicalOverlay.widget.label.liveLatency;;Zpoždění v reálném čase
technicalOverlay.widget.label.loadLatency;;Zpoždění při načítání
technicalOverlay.widget.label.multiaudio;;Multiaudio
technicalOverlay.widget.label.multicastGroup;;Multicast skupina
technicalOverlay.widget.label.packetLoss;;Ztráta paketů
technicalOverlay.widget.label.progressBar;;Ukazatel průběhu
technicalOverlay.widget.label.sid;;SID
technicalOverlay.widget.label.snr;;SNR
technicalOverlay.widget.label.streamBandwidth;;Stream bandwidth
technicalOverlay.widget.label.streamType;;Typ streamu
technicalOverlay.widget.label.textBuffer;;Text buffer
technicalOverlay.widget.label.videoBuffer;;Video buffer
technicalOverlay.widget.label.videoPid;;Video PID
technicalOverlay.widget.title;;Technický překryv
upnext.footer.back;;Zpět
upnext.footer.moreEpisodes;;Další díly
upnext.header.nextEpisode;;Další díl
upnext.header.startingCounter;;Začne za %1
upnextRecommendations1;;Něco podobného
upnextRecommendations2;;Něco jiného
voice.app.changeChannel.text;;<p>Ukončete %1 a sledujte %2 na Vodafone TV</p><p>nebo vyhledejte %3 na %4</p>
voice.app.searchNotAllowed.text;;Vyhledávání uvnitř není možné
voice.interface.searchScreenAccessMessage;;Povězte mi, co hledáte
voice.interface.startMessage;;S čím vám mohu pomoci?
voiceChrome.interface.listening;;Poslouchám...
voiceChrome.interface.speaking;;""
voiceChrome.interface.thinking;;Přemýšlím...
volume.hintHotkeyProfiles;;dlouhé podržení tlačítka Ztlumit/Mute<br>pro audio-profily 
watchNext.purchase;;Koupit
watchNext.recording;;Nahrávky
watchNext.rental;;Výpůjčka
wifi.bandwidthStatePopup.description;;"K vyřešení tohoto problému, prosím, stiskněte ""zkusit znovu"" a zkontrolujte router, přemístěte jej blíže k set-top boxu nebo z jeho okolí odstraňte cokoli, co by jej mohlo blokovat, pokud chyba přetrvává, navštivte https://www.vodafone.cz/vypadky nebo zavolejte na (800 77 00 77)"
wifi.bandwidthStatePopup.title;;Omlouváme se, nastal problém se šířkou pásma vaší WiFi.
wifi.buttons.tryAgain;;Zkusit znovu
